,mpi,mt,num_nodes,num_processes_per_node,num_threads_per_process,sd,time
151,1.0,1.0,3.0,3.0,7.0,0.0309224638789027,7.703720420412719
152,1.0,1.0,3.0,3.0,8.0,0.12028831634808379,7.924511940218508
153,1.0,1.0,3.0,4.0,1.0,0.06457314152385232,12.453931904770434
154,1.0,1.0,3.0,4.0,2.0,0.14184586648817596,7.438945188373327
155,1.0,1.0,3.0,4.0,3.0,0.10509971614906294,7.538444527052343
156,1.0,1.0,3.0,4.0,4.0,0.05775102433781475,7.54521862231195
157,1.0,1.0,3.0,4.0,5.0,0.08740610766424227,7.754397324472666
158,1.0,1.0,3.0,4.0,6.0,0.09762896889637228,7.779484780691564
159,1.0,1.0,3.0,4.0,7.0,0.17953092714445684,7.823259998112917
160,1.0,1.0,3.0,4.0,8.0,0.03804695723368664,8.268161968514324
161,1.0,1.0,3.0,5.0,1.0,0.1336302903924401,10.347082994878292
162,1.0,1.0,3.0,5.0,2.0,0.16598949384623315,7.721725761145353
163,1.0,1.0,3.0,5.0,3.0,0.09683183709881622,7.500009081885219
164,1.0,1.0,3.0,5.0,4.0,0.21627570577135344,7.946194237284362
165,1.0,1.0,3.0,5.0,5.0,0.08177727224805369,7.752184186503291
166,1.0,1.0,3.0,5.0,6.0,0.15273332224668026,8.274208094179631
167,1.0,1.0,3.0,5.0,7.0,0.09732076397414578,8.628117524459958
168,1.0,1.0,3.0,5.0,8.0,0.23718994508888833,8.922128848545253
169,1.0,1.0,3.0,6.0,1.0,0.170585268975768,9.103802114725113
170,1.0,1.0,3.0,6.0,2.0,0.20419813799653605,8.230896276794374
171,1.0,1.0,3.0,6.0,3.0,0.25163974999038424,7.9277716657146815
172,1.0,1.0,3.0,6.0,4.0,0.1727896772588934,8.031836864165962
173,1.0,1.0,3.0,6.0,5.0,0.18422108314865135,8.34911361951381
174,1.0,1.0,3.0,6.0,6.0,0.13559995731312857,8.887994522787631
175,1.0,1.0,3.0,6.0,7.0,0.23684834869950744,9.03069400768727
176,1.0,1.0,3.0,6.0,8.0,0.74765332759948,9.540819326974452
177,1.0,1.0,3.0,7.0,1.0,0.12036121927133542,8.193735749460757
178,1.0,1.0,3.0,7.0,2.0,0.26006534338951054,8.315080222487449
179,1.0,1.0,3.0,7.0,3.0,0.13778121407373672,8.196424044296146
180,1.0,1.0,3.0,7.0,4.0,0.31946878113591726,8.431722908467055
181,1.0,1.0,3.0,7.0,5.0,0.3239115196306088,8.946053100377322
182,1.0,1.0,3.0,7.0,6.0,0.37870188779538605,9.196614602208138
183,1.0,1.0,3.0,7.0,7.0,0.438448165902076,9.288896236382424
184,1.0,1.0,3.0,7.0,8.0,0.9237407042262618,9.938101908937096
185,1.0,1.0,3.0,8.0,1.0,0.09166578235720071,7.56045157648623
186,1.0,1.0,3.0,8.0,2.0,0.2715716975673487,8.465025216154753
187,1.0,1.0,3.0,8.0,3.0,0.16556408222694705,8.293499396555125
188,1.0,1.0,3.0,8.0,4.0,0.13563768574647941,8.859146137535571
189,1.0,1.0,3.0,8.0,5.0,0.32030178710715657,9.495588601380586
190,1.0,1.0,3.0,8.0,6.0,0.4470319856959603,9.429523416608571
191,1.0,1.0,3.0,8.0,7.0,1.9476454443873108,10.900688051432372
192,1.0,1.0,3.0,8.0,8.0,0.7424342176347333,10.682462318614125
193,1.0,1.0,4.0,1.0,1.0,0.02164474327558376,32.1536748142913
194,1.0,1.0,4.0,1.0,2.0,0.0744446013771432,17.14072178043425
195,1.0,1.0,4.0,1.0,3.0,0.005436044285008915,12.041864944063127
196,1.0,1.0,4.0,1.0,4.0,0.07074635146016445,9.577411832101642
197,1.0,1.0,4.0,1.0,5.0,0.0544165693922526,8.095441034249962
198,1.0,1.0,4.0,1.0,6.0,0.07202052490340495,7.178858311660588
199,1.0,1.0,4.0,1.0,7.0,0.04954563638315525,6.463849993608892
200,1.0,1.0,4.0,1.0,8.0,0.01792503368120431,5.937511392310261
201,1.0,1.0,4.0,2.0,1.0,0.0263111545671441,17.260073024407028
202,1.0,1.0,4.0,2.0,2.0,0.06159536529823528,9.718113417364657
203,1.0,1.0,4.0,2.0,3.0,0.10146993587953983,7.1371134767308835
204,1.0,1.0,4.0,2.0,4.0,0.03157258899519444,5.894661606661975
205,1.0,1.0,4.0,2.0,5.0,0.09976999902260793,5.947935141064226
206,1.0,1.0,4.0,2.0,6.0,0.5501120414550585,6.275250704400241
207,1.0,1.0,4.0,2.0,7.0,0.058887995217885104,6.197627150453627
208,1.0,1.0,4.0,2.0,8.0,0.055904952486505614,6.279982067644596
209,1.0,1.0,4.0,3.0,1.0,0.0810158156482897,12.430019708536566
210,1.0,1.0,4.0,3.0,2.0,0.10577328925646703,7.397047003544867
211,1.0,1.0,4.0,3.0,3.0,0.11477046002221576,6.0913940949365495
212,1.0,1.0,4.0,3.0,4.0,0.14642361558601044,6.190289263799786
213,1.0,1.0,4.0,3.0,5.0,0.06522855895000929,6.292636564932764
214,1.0,1.0,4.0,3.0,6.0,0.10073762855538657,6.357407930865884
215,1.0,1.0,4.0,3.0,7.0,0.0918606469518242,6.482465997710824
216,1.0,1.0,4.0,3.0,8.0,0.06777715387913003,6.630498376488686
217,1.0,1.0,4.0,4.0,1.0,0.13969813219357755,10.0389253616333
218,1.0,1.0,4.0,4.0,2.0,0.2322087087460548,6.394558767043054
219,1.0,1.0,4.0,4.0,3.0,0.11831131753118951,6.295048901997506
220,1.0,1.0,4.0,4.0,4.0,0.07027845335048764,6.419069938361645
221,1.0,1.0,4.0,4.0,5.0,0.16086683999212015,6.437352319061756
222,1.0,1.0,4.0,4.0,6.0,0.0566311513808171,6.608432884514332
223,1.0,1.0,4.0,4.0,7.0,0.034896973484850484,7.096857997402549
224,1.0,1.0,4.0,4.0,8.0,0.2347957330834826,7.4394995218142865
225,1.0,1.0,4.0,5.0,1.0,0.10246618390368076,8.435407199710607
226,1.0,1.0,4.0,5.0,2.0,0.18807979270411604,6.556946675293148
227,1.0,1.0,4.0,5.0,3.0,0.28221072377985895,6.812430381402374
228,1.0,1.0,4.0,5.0,4.0,0.3429147785291742,6.917462778836489
229,1.0,1.0,4.0,5.0,5.0,0.2243708086966718,7.1445056045427915
230,1.0,1.0,4.0,5.0,6.0,0.5012387685958961,7.555482022836804
231,1.0,1.0,4.0,5.0,7.0,0.3515540492807045,7.57084034383297
232,1.0,1.0,4.0,5.0,8.0,1.1335749367075594,8.11240311320871
233,1.0,1.0,4.0,6.0,1.0,0.1368221549134553,7.519769108109176
234,1.0,1.0,4.0,6.0,2.0,0.07275951781255766,7.015195281244814
235,1.0,1.0,4.0,6.0,3.0,0.13676331213837353,6.834730237722397
236,1.0,1.0,4.0,6.0,4.0,0.17200061280882514,7.192374776117504
237,1.0,1.0,4.0,6.0,5.0,0.18716066774814083,7.322233993373811
238,1.0,1.0,4.0,6.0,6.0,0.23227824355533372,7.5032060394063596
239,1.0,1.0,4.0,6.0,7.0,0.5181726382105044,8.044009065255523
240,1.0,1.0,4.0,6.0,8.0,0.5340209367987467,8.608562574163079
241,1.0,1.0,4.0,7.0,1.0,0.03022005096095135,6.888989611528814
242,1.0,1.0,4.0,7.0,2.0,0.08986900334821657,7.210252531804144
243,1.0,1.0,4.0,7.0,3.0,0.2097240153337705,7.106115969084203
244,1.0,1.0,4.0,7.0,4.0,0.18076639502407418,7.292356538027525
245,1.0,1.0,4.0,7.0,5.0,0.21743716330856222,7.648985796608031
246,1.0,1.0,4.0,7.0,6.0,0.40603524534637087,8.776357020251453
247,1.0,1.0,4.0,7.0,7.0,1.6002474660116472,9.432474117539822
248,1.0,1.0,4.0,7.0,8.0,0.5393275085542608,9.206179274059831
249,1.0,1.0,4.0,8.0,1.0,0.12014755677595437,6.374826214276254
250,1.0,1.0,4.0,8.0,2.0,0.14549667310456132,7.4634443640708925
251,1.0,1.0,4.0,8.0,3.0,0.20924852946108602,7.5816825814545155
252,1.0,1.0,4.0,8.0,4.0,1.3867315960865116,8.298890753090381
253,1.0,1.0,4.0,8.0,5.0,0.7509629321763509,8.550556764379143
254,1.0,1.0,4.0,8.0,6.0,0.6425516030483637,9.344748074561357
255,1.0,1.0,4.0,8.0,7.0,0.20099574226476635,9.175469274632633
256,1.0,1.0,4.0,8.0,8.0,0.375962654852032,10.232888391241431
